Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,MPG,City Fuel Consumption,Highway Fuel Consumption
0,27,2538,9,0,27,4,2.0,0,0,7,19,4233.87,4704.3
0,27,2538,9,0,27,4,2.6,0,0,7,18,4233.87,4469.085
0,27,2538,9,0,27,4,2.6,0,0,7,20,4469.085,4704.3
0,27,2538,9,0,36,4,2.0,0,0,7,22,4939.515,5409.945
0,27,2538,9,0,36,4,2.0,0,0,7,21,4704.3,5174.73
0,27,2538,9,0,38,4,2.0,0,0,7,24,4939.515,6350.805
0,27,2538,9,0,38,4,2.0,0,0,7,23,4939.515,6115.59
0,27,2538,9,0,38,4,2.3,0,0,0,28,6115.59,7291.665
0,27,2538,9,0,38,4,2.6,0,0,7,20,4233.87,5409.945
0,27,2538,9,0,38,4,2.3,0,0,0,25,5645.16,6350.805
0,27,2547,9,0,27,4,2.2,0,0,7,21,4233.87,5645.16
0,27,2547,9,0,27,4,2.2,0,0,7,21,4469.085,5645.16
0,27,2547,9,0,36,4,2.2,0,0,7,23,4939.515,6586.02
0,27,2547,9,0,38,4,2.2,0,0,7,23,4704.3,6821.235
0,27,3359,24,2,27,8,5.2,0,0,7,11,2587.365,2822.58
0,27,3359,24,2,27,8,5.2,0,0,7,11,2352.15,2822.58
0,27,3359,24,2,27,8,5.9,0,0,7,10,2116.935,2822.58
0,27,3359,24,2,36,6,3.7,0,0,7,14,3057.795,3528.225
0,27,3359,24,2,36,8,5.2,0,0,7,11,2352.15,2822.58
0,27,3359,24,2,36,8,5.2,0,0,7,12,2587.365,3293.01
0,27,3360,24,2,27,8,5.2,0,0,7,11,2587.365,2822.58
0,27,3360,24,2,27,8,5.9,0,0,7,10,2116.935,2587.365
0,27,3360,24,2,36,8,5.2,0,0,7,11,2352.15,2822.58
0,37,769,16,2,27,6,4.9,0,0,7,13,2822.58,3057.795
0,37,769,16,2,27,8,5.0,0,0,7,11,2587.365,2822.58
0,37,769,16,2,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,769,16,2,27,8,5.8,0,0,7,11,2352.15,2822.58
0,37,769,16,2,27,8,5.8,0,0,7,10,2352.15,2352.15
0,37,769,16,2,36,6,4.9,0,0,7,15,3293.01,3998.655
0,37,769,16,2,36,6,4.9,0,0,7,14,3057.795,3528.225
0,37,769,16,2,36,8,5.0,0,0,7,13,2587.365,3528.225
0,37,769,16,2,36,8,5.0,0,0,7,12,2587.365,3057.795
0,37,769,16,2,36,8,5.8,0,0,7,12,2587.365,3293.01
0,37,769,16,2,36,8,5.8,0,0,7,11,2587.365,2822.58
0,37,769,16,2,36,6,4.9,0,0,7,14,2822.58,3763.44
0,37,771,16,2,27,6,2.8,0,0,7,16,3528.225,3998.655
0,37,771,16,2,27,6,2.8,0,0,7,14,3057.795,3528.225
0,37,771,16,2,36,6,2.8,0,0,7,18,3763.44,5174.73
0,37,771,16,2,36,6,2.8,0,0,7,17,3528.225,4469.085
0,37,771,16,2,38,6,2.8,0,0,7,17,3528.225,4704.3
0,37,1160,9,0,36,4,2.0,0,0,7,22,4939.515,5880.375
0,37,1250,33,0,27,6,4.9,0,0,7,12,2587.365,3293.01
0,37,1250,33,0,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,1250,33,0,27,8,5.8,0,0,7,11,2352.15,2822.58
0,37,1250,33,0,27,8,5.8,0,0,7,9,2116.935,2352.15
0,37,1250,33,0,28,6,4.9,0,0,7,13,2822.58,3528.225
0,37,1250,33,0,28,8,5.0,0,0,7,13,2587.365,3528.225
0,37,1250,33,0,28,8,5.0,0,0,7,12,2587.365,3293.01
0,37,1250,33,0,36,6,4.9,0,0,7,14,3057.795,3998.655
0,37,1250,33,0,36,8,5.0,0,0,7,13,2587.365,3528.225
0,37,1250,33,0,36,6,4.9,0,0,7,13,2822.58,3528.225
0,37,1251,32,0,27,6,4.9,0,0,7,14,3057.795,3528.225
0,37,1251,32,0,27,8,5.8,0,0,7,11,2587.365,2587.365
0,37,1251,32,0,27,8,5.8,0,0,7,11,2587.365,2822.58
0,37,1251,32,0,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,1251,32,0,28,6,4.9,0,0,7,15,3293.01,4233.87
0,37,1251,32,0,28,8,5.0,0,0,7,13,2822.58,3528.225
0,37,1251,32,0,28,6,4.9,0,0,7,15,3057.795,4233.87
0,37,1251,32,0,28,8,5.0,0,0,7,12,2587.365,3293.01
0,37,1251,32,0,35,6,4.9,0,0,7,16,3528.225,4233.87
0,37,1251,32,0,35,6,4.9,0,0,7,15,3528.225,3998.655
0,37,1251,32,0,36,6,4.9,0,0,7,13,2822.58,3528.225
0,37,1251,32,0,36,6,4.9,0,0,7,18,3763.44,5174.73
0,37,1251,32,0,36,8,5.0,0,0,7,13,2822.58,3528.225
0,37,1251,32,0,36,6,4.9,0,0,7,16,3528.225,4469.085
0,37,1256,32,0,27,6,4.9,0,0,7,13,2822.58,3293.01
0,37,1256,32,0,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,1256,32,0,27,8,5.8,0,0,7,11,2352.15,2822.58
0,37,1256,32,0,27,6,4.9,0,0,7,13,2822.58,3528.225
0,37,1256,32,0,27,8,5.8,0,0,7,9,2116.935,2352.15
0,37,1256,32,0,28,6,4.9,0,0,7,13,2587.365,3528.225
0,37,1256,32,0,28,8,5.0,0,0,7,13,2587.365,3528.225
0,37,1256,32,0,28,6,4.9,0,0,7,13,2822.58,3528.225
0,37,1256,32,0,28,8,5.0,0,0,7,12,2587.365,3293.01
0,37,1256,32,0,35,6,4.9,0,0,7,14,3293.01,3528.225
0,37,1256,32,0,35,6,4.9,0,0,7,14,3057.795,3528.225
0,37,1514,23,0,27,6,4.9,0,0,7,14,3057.795,3528.225
0,37,1514,23,0,27,8,5.0,0,0,7,12,2587.365,2822.58
0,37,1514,23,0,27,8,5.8,0,0,7,11,2587.365,2822.58
0,37,1514,23,0,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,1514,23,0,28,6,4.9,0,0,7,15,3293.01,4233.87
0,37,1514,23,0,28,8,5.0,0,0,7,14,2822.58,3763.44
0,37,1514,23,0,28,8,5.0,0,0,7,13,2587.365,3528.225
0,37,1514,23,0,35,6,4.9,0,0,7,17,3528.225,4469.085
0,37,1514,23,0,35,8,5.0,0,0,7,13,2822.58,3528.225
0,37,1514,23,0,35,6,4.9,0,0,7,15,3528.225,3998.655
0,37,1514,23,0,36,6,4.9,0,0,7,18,3763.44,5174.73
0,37,1514,23,0,36,8,5.0,0,0,7,15,3057.795,3998.655
0,37,1514,23,0,36,8,5.8,0,0,7,12,2587.365,3528.225
0,37,1514,23,0,36,6,4.9,0,0,7,16,3528.225,4704.3
0,37,1514,23,0,36,6,4.9,0,0,7,17,3528.225,4469.085
0,37,1517,24,2,27,6,4.9,0,0,7,13,2822.58,3057.795
0,37,1517,24,2,27,8,5.0,0,0,7,12,2587.365,2822.58
0,37,1517,24,2,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,1517,24,2,27,8,5.8,0,0,7,11,2352.15,2822.58
0,37,1517,24,2,27,8,5.0,0,0,7,11,2587.365,2822.58
0,37,1517,24,2,27,8,5.8,0,0,7,10,2352.15,2352.15
0,37,1517,24,2,36,6,4.9,0,0,7,15,3293.01,3998.655
0,37,1517,24,2,36,6,4.9,0,0,7,14,3293.01,3528.225
0,37,1517,24,2,36,8,5.0,0,0,7,13,2587.365,3528.225
0,37,1517,24,2,36,8,5.0,0,0,7,12,2587.365,3293.01
0,37,1517,24,2,36,8,5.8,0,0,7,12,2587.365,3528.225
0,37,1517,24,2,36,8,5.8,0,0,7,11,2587.365,2822.58
0,37,1517,24,2,36,6,4.9,0,0,7,14,3057.795,3998.655
0,37,1517,24,2,36,6,4.9,0,0,7,14,3057.795,3528.225
0,37,1526,23,0,27,6,4.9,0,0,7,13,2822.58,3528.225
0,37,1526,23,0,27,8,5.8,0,0,7,11,2587.365,2587.365
0,37,1526,23,0,27,8,5.8,0,0,7,11,2587.365,2822.58
0,37,1526,23,0,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,1526,23,0,28,8,5.0,0,0,7,13,2822.58,3528.225
0,37,1526,23,0,28,8,5.0,0,0,7,12,2587.365,3293.01
0,37,1526,23,0,35,6,4.9,0,0,7,14,3293.01,3528.225
0,37,1526,23,0,36,8,5.0,0,0,7,15,3057.795,3998.655
0,37,1526,23,0,36,8,5.0,0,0,7,13,2587.365,3528.225
0,37,1526,23,0,36,8,5.8,0,0,7,11,2587.365,2822.58
0,37,1526,23,0,36,6,4.9,0,0,7,14,3057.795,3763.44
0,37,1526,23,0,36,6,4.9,0,0,7,14,3293.01,3528.225
0,37,1528,24,2,27,6,4.9,0,0,7,13,2822.58,3057.795
0,37,1528,24,2,27,8,5.0,0,0,7,12,2587.365,2822.58
0,37,1528,24,2,27,8,5.8,0,0,7,10,2352.15,2587.365
0,37,1528,24,2,27,8,5.8,0,0,7,11,2352.15,2822.58
0,37,1528,24,2,27,8,5.0,0,0,7,11,2587.365,2822.58
0,37,1528,24,2,27,8,5.8,0,0,7,10,2352.15,2352.15
0,37,1528,24,2,36,6,4.9,0,0,7,14,3057.795,3528.225
0,37,1528,24,2,36,8,5.0,0,0,7,12,2587.365,3293.01
0,37,1528,24,2,36,8,5.8,0,0,7,11,2587.365,2822.58
0,37,1529,17,0,27,8,5.0,0,0,7,11,2587.365,2822.58
0,37,1529,17,0,27,8,5.0,0,0,7,11,2587.365,2587.365
0,37,1529,17,0,36,8,5.0,0,0,7,12,2587.365,3057.795
0,37,2567,9,0,27,4,2.3,0,0,7,19,4233.87,5174.73
0,37,2567,9,0,27,6,2.8,0,0,7,18,3763.44,4939.515
0,37,2567,9,0,27,4,2.3,0,0,7,19,4233.87,4704.3
0,37,2567,9,0,27,6,2.8,0,0,7,17,3528.225,4469.085
0,37,2567,9,0,36,4,2.0,0,0,7,24,4939.515,6586.02
0,37,2567,9,0,36,4,2.2,0,0,0,26,5880.375,6586.02
0,37,2567,9,0,36,4,2.3,0,0,7,21,4469.085,5645.16
0,37,2567,9,0,36,4,2.3,0,0,7,19,3998.655,5174.73
0,37,2567,9,0,36,6,2.8,0,0,7,20,4233.87,5409.945
0,37,2567,9,0,36,6,2.8,0,0,7,19,3998.655,5174.73
0,37,2567,9,0,38,4,2.0,0,0,7,22,4704.3,6115.59
0,37,2567,9,0,38,4,2.3,0,0,7,21,4469.085,5645.16
0,37,2567,9,0,38,4,2.3,0,0,7,19,3998.655,5174.73
0,37,2567,9,0,38,6,2.8,0,0,7,19,3998.655,5645.16
0,37,2567,9,0,38,6,2.8,0,0,7,18,3763.44,5174.73
0,37,2568,10,2,27,6,2.8,0,0,7,15,3528.225,3998.655
0,37,2568,10,2,27,6,2.8,0,0,7,14,3057.795,3528.225
